Player Name,Team Initials,world_cup_matches,tournaments
Alex VILLAPLANE,FRA,3,1930
Alex WILSON,SCO,2,1954
Alexander HORVATH,TCH,3,1970
Alexander VENCEL,TCH,3,1970
Alexander WOOD,USA,3,1930
Alexandre GUIMARAES,CRC,4,1990
Alexandru CUEDAN,ROU,1,1934
Alexandru NEAGU,ROU,3,1970
Alexey KORNEEV,URS,6,1966
Alexi LALAS,USA,3,1998
Alexis ALEXIOU,GRE,3,1994
Alexis ALEXOUDIS,GRE,3,1994
Alexis CHANTRAINE,BEL,2,1930
Alexis MENDOZA,COL,7,"1990, 1994"
Alf HALAND,NOR,3,1994
Alf MARTINSEN,NOR,1,1938
Alf RAMSEY,ENG,3,1950
Alfons VAN BRANDT,BEL,2,1954
Alfonse PEETERS,BEL,3,1970
Alfonso DOMINGUEZ,URU,4,1990
Alfonso LARA,CHI,3,1974
Alfonso LORENZO,ARG,1,1934
Alfonso MONTEMAYOR,MEX,3,1950
Alfonso PEREIRA,URU,4,1986
Alfonso PORTUGAL,MEX,3,1958
Alfonso SILVA,ESP,6,1950
Alfred ASTON,FRA,3,"1934, 1938"
Alfred EISENBEISSER,ROU,2,1930
Alfred HOERTNAGL,AUT,3,1990
Alfred JAECK,SUI,2,1934
Alfred KELBASSA,FRG,6,1958
Alfred KOERNER,AUT,8,"1954, 1958"
Alfred McMICHAEL,NIR,5,1958
Alfred PFAFF,FRG,6,1954
Alfred PHIRI,RSA,3,1998
Alfred SCHMIDT,FRG,6,1958
Alfred TEINITZER,AUT,5,1954
Alfredo DE VINCENZI,ARG,1,1934
Alfredo DEL AGUILA,MEX,3,1962
Alfredo DI STEFANO,ESP,3,1962
Alfredo FONI,ITA,4,1938
Alfredo HERNANDEZ,MEX,6,"1958, 1962"
Alfredo MENDOZA,PAR,4,1986
Alfredo PEREZ,ARG,3,1958
Alfredo QUESADA,PER,6,1978
Alfredo ROJAS,ARG,7,"1958, 1966"
Alfredo SANCHEZ,MEX,3,1930
Alfredo TENA,MEX,3,1978
Alfredo TORRES,MEX,2,1954
Alfredo VASQUEZ,SLV,3,1970
Ali BENCHEIKH,ALG,3,1982
Ali BOUMNIJEL,TUN,3,1998
Ali EL KHATTABI,MAR,3,1998
Ali FERGANI,ALG,3,1982
Ali KAABI,TUN,3,1978
Ali Mohammed EL KAF,EGY,1,1934
Ali PARWIN,IRN,3,1978
Ali Reza GHESHGHAIAN,IRN,3,1978
Ali SHOJAEI,IRN,3,1978
Ali Thani JUMAA,UAE,3,1990
Alim BEN MABROUK,ALG,3,1986
Alioum BOUKAR,CMR,3,1998
Alistair McCOIST,SCO,3,1990
Aljosa ASANOVIC,CRO,7,1998
Allal BEN KASSOU,MAR,3,1970
Allan BOATH,NZL,3,1982
Allan BROWN,SCO,2,1954
Allan CLARKE,ENG,4,1970
Allan COSTLY,HON,3,1982
Allan EVANS,SCO,3,1982
Allan MAHER,AUS,3,1974
Allan NIELSEN,DEN,5,1998
Allan SIMONSEN,DEN,4,1986
Allenby CHILTON,ENG,3,1954
Alloy AGU,NGA,4,1994
Alphonse DE WINTER,BEL,1,1938
Alphonse YOMBI,CMR,5,1990
Alvaro GESTIDO,URU,4,1930
Alvaro PENA,BOL,3,1994
Alvin MARTIN,ENG,5,1986
Amadeo CARRIZO,ARG,3,1958
Amadeo ORTEGA,PAR,2,1930
Amedeo AMADEI,ITA,2,1950
Amedeo BIAVATI,ITA,4,1938
Americo GALLEGO,ARG,12,"1978, 1982"
Amleto FRIGNANI,ITA,3,1954
Anatoli BANISHEVSKI,URS,6,1966
Anatoli DEMYANENKO,URS,12,"1982, 1986, 1990"
Anatoli ILYIN,URS,5,1958
Anatoli MASLYONKIN,URS,9,"1958, 1962"
Anatoli NANKOV,BUL,3,1998
Anatoli PUZACH,URS,4,1970
Anatoly BISHOVETS,URS,4,1970
Andeas OGRIS,AUT,3,1990
Anders LIMPAR,SWE,10,"1990, 1994"
Anders LINDEROTH,SWE,3,1978
Anders RYDBERG,SWE,2,1934
Andoni ZUBIZARRETA,ESP,5,1986
Andranik ESKANDARIAN,IRN,3,1978
Andras TOROCSIK,HUN,6,"1978, 1982"
Andras TOTH,HUN,3,1978
Andre ABEGGLEN,SUI,5,"1934, 1938"
Andre CHORDA,FRA,3,1966
Andre GROBETY,SUI,6,"1962, 1966"
Andre KANA-BIYIK,CMR,8,"1990, 1994"
